DATA;ANO;MÒS;PERIODO;PIS/PASEP;COFINS;ICMS;DEMANDA_CONTRATADA_P;DEMANDA_CONTRATADA_FP;DEMANDA_REGISTRADA_P;DEMANDA_REGISTRADA_FP;DEMANDA_ISENTA_P;DEMANDA_ISENTA_FP;TAR_TUSD_KW_P;TAR_TUSD_KW_FP;ENERGIA_PONTA;ENERGIA_FPONTA;TAR_TUSD_KWH_P;TAR_TUSD_KWH_FP;TAR_TE_KWH_P;TAR_TE_KWH_FP;REAT_KVAR_PONTA;REAT_KVAR_FPONTA;TAR_REAT_PONTA;TAR_REAT_FPONTA;Valor da Fatura;Consumo Total;Acrescimo_Bamar;Acrescimo_Bverm1;Acrescimo_Bverm2;Demanda Isenta;DEM_ULTRAPASSAGEM;TE_DEM_ULTRAPASSAGEM
13/01/2020;2020;1;31;0,0111;0,0509;0,29;0;175;108;146,56;0;0;-;-;3198,00;28051,00;-;-;1,975891;0,520898;3,00;55,000;0,416667;0,420182;23.678,83;31249;644,25;0;0;32,44;;
17/02/2020;2020;2;29;0,0107;0,0491;0,29;0;175;65,66;126,57;0;0;-;-;2663,00;29878,00;-;-;1,983736;0,522965;1,00;104,000;0,41;0,422115;23.408,45;32541;451,33;0;0;48,43;;
12/032020;2020;3;31;0,0105;0,0485;0,29;0;175;126,14;189,64;0;0;-;-;4273,00;36162,00;-;-;1,978479;0,52158;0;34;0;0,420882;29984,74;40435;0;0;0;0;;
16/04/2020;2020;4;30;0,0102;0,0467;0,29;0;175;151,2;235,44;0;0;-;-;3373;27369;-;-;1,974711;0,520587;0;38;0;0,42;26571,15;30742;0;0;0;0;;
05/12/2020;2020;5;31;0,0098;0,048;0,29;0;175;53,13;51,4;0;0;-;-;2086;19242;-;-;1,968068;0,518835;0;45;0;0,418667;15965,06;21328;0;0;0;121,87;;
06/12/2020;2020;6;30;0,0094;0,0434;0,29;0;175;57,88;55,72;0;0;-;-;3362;21325;-;-;1,961785;0,517179;0;33;0;0,41697;19309,84;24687;0;0;0;117,12;;
15/01/2015;2015;1;31;;;0,29;0;150;102,81;100,22;47,19;47,19;;;3030;26231;0,732716;0,031669;0,448208;0,267413;12;211;0,282500;0,282417;12413,1;29261;;468,35;;;;
18/02/2015;2015;2;31;0,0107;0,0493;0,29;0;150;51,4;77,76;72,24;72,24;;;2388;26517;0,738626;0,031924;0,451826;0,269570;12;205;0,284167;0,284634;12601,31;28905;;1314,49;;;;
17/03/2015;2015;3;28;;;0,29;0;150;122,25;114,91;27,75;27,75;;;3679;25505;0,779198;0,060455;0,498997;0,299370;5;152;0,314000;0,315987;15992,87;29184;;1747,81;;;;
15/04/2015;2015;4;31;;;0,29;0;150;118,8;109,72;31,2;31,2;;;5850;32804;0,832429;0,110954;0,571797;0,345784;;119;;0,364538;26184,42;38654;;3270,72;;;;
18/05/2015;2015;5;30;;;0,29;0;150;117,07;106,7;32,93;32,93;;;4996;29075;;;;;;56;;0,364643;23060,56;34071;;2882,91;;;;
16/06/2015;2015;6;31;;;0,29;0;150;108,43;105,4;41,57;41,57;;;6077;32404;;;;;;62;;0,364355;26251,98;38481;;3256,07;;;;
16/07/2015;2015;7;31;;;0,29;0;150;102,36;89,42;47,62;47,62;;;5098;28896;;;;;;17;;0,405882;24970,43;33994;;2876,41;;;;
17/08/2015;2015;8;30;;;0,29;0;150;91,58;82,94;58,42;58,42;;;2947;22340;;;;;;37;;0,432973;18065,51;25287;;2127,95;;;;
16/09/2015;2015;9;31;;;0,29;0;150;109,29;94,17;40,71;40,71;;;5689;30527;;;;;;52;;0,429038;28278,39;36216;;2823,13;;;;
16/10/2015;2015;10;30;;;0,29;0;150;131,76;129,16;18,24;18,24;;;6114;32495;;;;;;57;;0,428596;29458,49;38609;;2632,42;;;;
16/11/2015;2015;11;31;0,0129;0,0591;0,29;0;150;140,4;143,85;6,15;6,15;;;5562;32097;;;;;2;146;0,43;0,434041;28376,86;37659;;2598,38;;;;
16/12/2015;2015;12;30;;;0,29;0;150;126,14;130,46;19,54;19,54;;;5141;29835;;;;;;90;;0,443556;26962,12;34976;;2466,95;;;;
15/01/2016;2016;1;31;0,0141;0,0649;0,29;0;150;55,72;66,09;83,91;83,91;;;1590;17934;;;1,646333;0,542125;7;107;0,444286;0,445421;14268,93;19524;;1382,47;;;;
16/02/2016;2016;2;31;;;0,29;0;128;46,65;85,96;42,04;42,04;;;1872;20159;;;1,658109;0,546006;12;421;0,448333;0,448622;15936,86;22031;;1385,29;;;;
15/03/2016;2016;3;29;0,0132;0,0608;0,29;0;128;125,28;117,07;2,72;2,72;;;3805;25778;;;1,653157;0,544369;;80;;0,447125;21579,46;29583;265,92;870,42;;;;
14/04/2016;2016;4;31;0,0121;0,0559;0,29;0;128;146,88;134,78;;;;;5951;32876;;;1,639600;0,539905;;64;;0,443438;28837,25;38827;588,86;;;;18,88;21,625
16/05/2016;2016;5;30;;;0,29;0;128;137,8;130,46;;;;;6234;31898;;;1,629716;0,536651;;31;;0,440645;27324,3;38132;;;;;9,8;21,495918
15/06/2016;2016;6;31;0,0110;0,0510;0,29;0;128;117,5;102,81;10,5;10,5;;;6023;31108;;;1,624330;0,534877;;13;;0,440000;26769,01;37131;;;;;;
15/07/2016;2016;7;30;0,0100;0,0470;0,29;0;128;107,13;93,31;20,87;20,87;;;4988;27505;;;1,601612;0,469953;;20;;0,387500;21337,38;32493;;;;;;
16/05/2016;2016;8;31;0,0095;0,0435;0,29;0;128;94,6;84,67;33,4;33,4;;;3485;21958;;;1,584795;0,426790;;60;;0,353500;16787,78;25443;;;;;;
15/09/2016;2016;9;31;;;0,29;0;128;111,45;97,63;16,55;16,55;;;5618;30143;;;1,578565;0,425114;;29;;0,352069;22320,8;35761;;;;;;
18/10/2016;2016;10;30;0,0088;0,0402;0,29;0;128;113,61;104,54;14,39;14,39;;;5862;31695;;;1,575052;0,424167;;61;;0,351311;23273,46;37557;;;;;;
17/11/2016;2016;11;31;0,0080;0,0370;0,29;0;128;136,94;156,38;;;;;5392;33200;;;1,565653;0,421636;1;57;0,34;0,349123;24674,26;38592;310,05;;;;28,38;31,883016
15/12/2016;2016;12;30;0,0073;0,0337;0,29;0;128;121,82;145,58;;;;;4772;30611;;;1,556142;0,419076;1;80;0,34;0,347125;22303,64;35383;504,37;;;;17,58;31,688282
15/01/2019;2019;1;31;0,0143;0,0657;0,29;0;149;112,75;181;;;;;2869;29118;;;2,055702;0,538817;5;107;0,464;0,463364;25849,65;31988;;;;;32;49,950313
13/02/2019;2019;2;31;0,0125;0,0575;0,29;0;149;58,32;127,44;21,56;21,56;;;2575;31853;;;2,018027;0,528941;3;47;0,45;0,454681;23924,06;34428;;;;;;
20/03/2019;2019;3;28;;;0,29;0;149;93,31;131,76;17,24;17,24;;;2641;26216;;;1,991564;0,522006;0;38;0;0,448684;20989,57;28858;;;;;;
04/01/2019;2019;4;31;;;0,29;0;149;144,72;206,06;;;;;7214;43478;;;1,982197;0,51955;0;13;0;0,446154;41621,11;50692;;;;;57,06;45,271118
05/01/2019;2019;5;30;;;0,29;0;175;139,53;184,89;;;;;6617;41564;;;1,9822;0,51955;0;14;0;0,445714;36929,17;48182;256,21;;;;;
17/06/2019;2019;6;31;0,0111;0,0509;0,29;0;175;136,08;139,96;9,04;9,04;;;5993;37480;;;1,978934;0,518694;0;4;0;0,445;33070,97;43474;454,38;;;;;
11/07/2019;2019;7;30;0,0103;0,0472;0,29;0;175;120,96;126,6;19,4;19,4;;;6172;36574;;;1,975854;0,519691;0;2;0;0,42;32691,56;42746;352,68;;;;;
08/12/2019;2019;8;31;0,0104;0,0476;0,29;0;175;98,06;107,56;67,44;67,44;;;3659;27160;;;1,972963;0,520126;0;3;0;0,416667;24253,13;30819;475,91;620,55;;;;
13/09/2019;2019;9;31;0,0106;0,0486;0,29;0;175;153,36;229,39;;;;;6770;40213;;;1,975229;0,520723;0;5;0;0,416;41802,74;46984;;2884,2;;;54,39;42,205369
10/11/2019;2019;10;30;;;0,29;0;175;169,34;250,99;;;;;7261;44994;;;1,977577;0,521343;0;24;0;0,420833;46102,52;52255;390,24;2170,98;;;75,99;42,25556
20/11/2019;2019;11;31;0,0097;0,0443;0,29;0;175;175,39;276,88;;;;;7478;48840;;;1,971987;0,519869;0;19;0;0,418947;49125,45;56319;880,32;1150,68;;;98,88;42,136125
13/12/2019;2019;12;30;0,0102;0,0466;0,29;0;175;152,92;210,81;;;;;7319;44153;;;1,96498;0,518021;0;20;0;0,4175;43172,77;51473;322;2276,59;;;35,81;41,986037
01/01/2018;2018;1;31;0,0149;0,0684;0,29;0;149;83,8;129,16;19,84;19,84;;;2539;25571;;;1,890339;0,448382;5;133;0,4;0,401504;19427;28110;0;994,24;0;;;
02/01/2018;2018;2;28;0,0116;0,0534;0,29;0;149;48,41;155,08;;;;;2234;25241;;;1,853236;0,439581;3;70;0,39;0,393714;17697,5;27476;0;0;0;;;
03/01/2018;2018;3;31;0,0089;0,0411;0,29;0;149;127,44;166,75;;;;;3411;27800;;;1,802841;0,427627;1;52;0,36;0,382885;21205,51;31212;0;0;0;;17,75;43,539718
04/01/2018;2018;4;30;;;0,29;0;149;144,72;181;;;;;6993;42863;;;1,777969;0,421727;0;21;;0,377619;33743,5;49857;0;0;0;;32;42,939375
05/01/2018;2018;5;31;;;0,29;0;149;138,67;148,6;0,4;0,4;;;6186;36500;;;1,77797;0,421727;0;56;;0,3777679;28127,91;42687;204,25;0;0;;;
06/01/2018;2018;6;30;;;0,29;0;149;117,93;122,68;26,32;26,32;;;5213;32437;;;1,777967;0,421726;0;20;;0,37775;25729,84;37650;392,6;0;892,11;;;
07/01/2018;2018;7;31;;;0,29;0;149;120,52;114,91;28,48;28,48;;;6036;33504;;;1,873476;0,473335;0;19;;0,412632;32612,57;39541;0;0;2995,38;;;
08/01/2018;2018;8;31;0,0098;0,0452;0,29;0;149;98,92;106,27;42,73;42,73;;;3891;27044;;;1,94237;0,50911;0;21;;0,437619;25196,92;30936;0;0;2349,8;;;
09/01/2018;2018;9;30;0,0115;0,0531;0,29;0;149;120,96;111,88;28,04;28,04;;;5771;35051;;;1,96214;0,514293;0;41;;0,441951;33618,98;40823;0;0;3132,39;;;
10/01/2018;2018;10;31;0,0165;0,076;0,29;0;149;152,49;191,8;;;;;6558;37557;;;2,012784;0,52759;0;8;;0,4525;40418,52;44115;0;0;3472,54;;42,8;45,971729
11/01/2018;2018;11;30;;;0,29;0;149;127;162;;;;;5637;36760;;;2,07047;0,542688;0;26;;0,466154;36481,86;42397;206,02;0;2402,74;;13;47,286923
12/01/2018;2018;12;31;;;0,29;0;149;148,6;218,59;;;;;6092;38434;;;2,070474;0,542687;0;64;;0,466563;40016,34;44526;480,59;0;0;;69,59;47,287254
08/01/2017;2017;8;31;0,0143;0,0655;0,29;0;149;101,52;103,68;36,32;0;0;0;3588;24904;;;1,848409;0,438437;0;23;0;0,392609;20281,01;28492;579,13;477,70;0;;;
09/01/2017;2017;9;30;0,0152;0,0698;0,29;0;;;;2,20;0;;;5275;32213;;;1,867509;0,442966;0;27;0;0,397037;27213,51;37488;423,35;1154,78;;;;
10/01/2017;2017;10;31;0,0165;0,076;0,29;0;149;137,8;153,79;0;0;0;;6905;37087;;;1,885832;0,447311;0;20;0;0,4005;33292,42;43992;988,85;743,87;0;;;
11/01/2017;2017;11;30;0,0175;0,0318;0,29;0;149;126,14;166,75;0;;;;5358;33516;;;1,900336;0,450752;0;38;0;0,403684;30634,48;38874;0;0;0;;17,75;45.894.085
12/01/2017;2017;12;31;0,0065;0,03;0,29;0;149;112,75;190,51;0;0;0;0;4971;35582;;;1,900336;0,450752;0;92;0;0,403587;32627,46;40553;0;2801,91;0;0;41,51;45,894483
01/01/2017;2017;1;31;0,0093;0,03408;0,29;0;150;55,72;66,09;20,87;20,87;;;2066;21441;;;1,550247;0,417488;12;105;0,345;0,345714;13956,08;23507;0;0;0;20,87;;
02/01/2017;2017;2;28;0,008;0,037;0,29;0;128;46,65;85,96;19,14;19,14;;;2266;23787;;;1,553539;0,418376;1;73;0,34;0,346575;14578,8;26053;0;0;0;19,14;;
03/01/2017;2017;3;31;0,0089;0,0406;0,29;0;128;125,28;117,07;;;;;3800;29349;;;1,563735;0,421119;1;48;0,34;0,348542;21231,62;33149;0;0;0;;36,59;31,843946
1/4/2017;2017;4;30;0,009736;0,04462163;0,29;0;128;146,88;134,78;;;;;6290;37554;;;1,544577;0,394147;;31;;0,32129;26978,17;43844;8874,74;665,15;0;;;
1/5/2017;2017;5;31;0,0107;0,0493;0,29;0;140;;;;;;;5064;29821;;;1,530353;0,370694;;29;;0,297241;21856,21;34885;;1601,49;;;;
1/6/2017;2017;6;30;0,018;0,0542;0,29;0;140;114,04;107,13;;;;;6353;35490;;;1,592569;0,4222862;;20;;0,349;26639,28;41843;;50,59;;;;
1/7/2017;2017;7;31;0,013;0,0596;0,29;0;149;108;94,17;32;32;;;4909;30071;;;1,74068;0,431104;;15;;0,374667;23111,23;34980;399,8;;;32;;